Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2016-09-18 17:23:13,Running,,8.13,1:20:47,9:56,6.04,526.0,85.85,,"Slow and good run. Perfect weather. ",2016-09-18-1723.gpx
2016-09-11 16:21:14,Walking,,1.55,18:31,11:58,5.01,89.9757041732498,,,"Walking",
2016-09-09 19:52:37,Walking,,1.36,17:09,12:37,4.75,84.9637949222199,,,"Walking",
2016-09-09 14:46:07,Walking,,1.51,18:29,12:15,4.90,89.0210547921012,,,"Walking",
2016-09-08 14:53:21,Walking,,1.48,17:45,11:58,5.01,88.0664054109527,,,"Walking",
2016-09-08 14:12:51,Walking,,1.41,17:08,12:08,4.94,68.9734177879819,,,"Walking",
2016-09-07 17:03:38,Walking,,0.75,8:55,11:57,5.02,69.9280671691305,,,"Walking",
2016-09-07 13:56:01,Walking,,1.76,21:32,12:15,4.90,96.8969121865767,,,"Walking",
2016-09-03 19:00:50,Walking,,1.36,16:43,12:16,4.89,89.0210547921012,,,"Walking",
2016-09-03 17:52:32,Running,,4.13,36:25,8:49,6.81,308.0,51.82,,"Day 8. Pretty good weather but was a bit difficult to run 🏃. ",2016-09-03-1752.gpx
2016-09-01 19:45:03,Running,,7.54,1:10:37,9:22,6.40,527.0,79.55,,"Day 7. Good weather, good run. ",2016-09-01-1945.gpx
2016-09-01 15:22:20,Walking,,1.22,14:11,11:38,5.16,61.0975603935065,,,"Walking",
2016-08-31 15:19:56,Walking,,0.64,7:24,11:33,5.20,37.9473129006544,,,"Walking",
2016-08-30 19:07:06,Running,,7.00,1:04:54,9:17,6.47,630.0,437.00,,"Good weather, tough run. But could complete the plan after initial difficulty. ",2016-08-30-1907.gpx
2016-08-28 19:45:58,Running,,6.98,1:15:16,10:47,5.56,446.0,73.92,,"Good run. Nice breeze. ",2016-08-28-1945.gpx
2016-08-28 16:31:15,Walking,,2.32,29:59,12:56,4.64,122.911107822874,,,"Walking",
2016-08-28 13:23:04,Walking,,1.35,16:57,12:33,4.78,75.8946258013088,,,"Walking",
2016-08-27 20:25:26,Walking,,1.52,19:22,12:42,4.72,105.966081307488,,,"Walking",
2016-08-27 19:05:48,Running,,5.02,53:04,10:34,5.68,438.0,380.00,,"Restart run 🏃. Day 4. Difficult run but could make it. ",2016-08-27-1905.gpx
2016-08-26 18:25:40,Walking,,1.64,20:34,12:34,4.77,90.9303535543983,,,"Walking",
2016-08-26 15:20:11,Walking,,1.48,16:50,11:23,5.27,75.8946258013088,,,"Walking",
2016-08-25 20:00:30,Running,,4.21,46:07,10:57,5.48,279.0,47.16,,"Restart run. Day 3. Good run. Nice weather. ",2016-08-25-2000.gpx
2016-08-23 19:06:22,Running,,4.44,42:17,9:31,6.30,312.0,48.86,,"Restart run, day 2. Good weather, tough run. ",2016-08-23-1906.gpx
2016-08-23 18:24:36,Walking,,0.72,9:11,12:42,4.72,52.9830406537439,,,"Walking",
2016-08-23 14:50:26,Walking,,1.38,16:52,12:15,4.89,84.0091455410714,,,"Walking",
2016-08-21 19:59:44,Running,,2.04,17:06,8:22,7.17,148.0,22.55,,,2016-08-21-1959.gpx
2016-08-19 17:12:03,Walking,,0.87,10:05,11:38,5.16,56.0856511424766,,,"Walking",
2016-08-19 15:45:07,Walking,,1.28,14:25,11:15,5.33,64.9161579181006,,,"Walking",
2016-08-18 12:04:31,Walking,,1.38,16:48,12:12,4.92,68.9734177879819,,,"Walking",
2016-08-18 10:14:20,Walking,,1.51,17:43,11:45,5.10,89.0210547921012,,,"Walking",
2016-08-17 16:29:10,Walking,,2.55,32:05,12:36,4.76,137.946835575964,,,"Walking",
2016-08-11 17:10:05,Walking,,1.40,16:11,11:33,5.20,84.9637949222199,,,"Walking",
2016-08-11 14:43:12,Walking,,1.31,14:52,11:23,5.27,82.0998467787743,,,"Walking",
2016-08-04 09:34:19,Walking,,4.76,54:27,11:26,5.25,282.098892129393,,,"Walking",
2016-08-03 14:45:56,Walking,,1.74,21:42,12:27,4.82,137.946835575964,,,"Walking",
2016-07-25 18:36:36,Walking,,1.99,25:05,12:36,4.76,146.061355315726,,,"Walking",
2016-07-25 16:21:46,Walking,,2.84,32:59,11:37,5.16,194.032486718441,,,"Walking",
2016-07-23 11:40:11,Walking,,0.82,9:38,11:42,5.13,46.061832640417,,,"Walking",
2016-07-22 18:17:45,Walking,,2.87,32:43,11:25,5.26,188.065928086262,,,"Walking",
2016-07-22 14:26:40,Walking,,3.26,35:54,11:00,5.45,157.039823198935,,,"Walking",
2016-07-21 20:27:30,Walking,,2.35,27:40,11:47,5.09,121.956458441726,,,"Walking",
2016-07-20 15:39:18,Walking,,1.02,12:19,12:05,4.97,73.9853270390118,,,"Walking",
2016-07-19 11:31:17,Walking,,2.18,26:33,12:11,4.92,141.049446064697,,,"Walking",
2016-07-18 18:28:40,Walking,,2.01,25:14,12:32,4.78,114.08060104725,,,"Walking",
2016-07-17 20:45:58,Walking,,1.05,13:20,12:41,4.73,74.9399764201603,,,"Walking",
2016-07-16 21:12:20,Running,,2.89,23:52,8:16,7.26,206.0,30.00,,,2016-07-16-2112.gpx
2016-07-15 18:08:22,Walking,,1.15,13:59,12:09,4.94,152.027913947905,,,"Walking",
2016-07-14 12:12:49,Walking,,1.45,18:47,12:58,4.63,78.9972362900416,,,"Walking",
2016-07-14 11:23:19,Walking,,0.24,2:58,12:31,4.79,29.1168061250304,,,"Walking",
2016-07-14 09:01:50,Walking,,1.45,17:26,12:02,4.99,70.882716550279,,,"Walking",
2016-07-13 19:44:19,Walking,,1.31,16:20,12:27,4.82,83.0544961599229,,,"Walking",
2016-07-13 17:51:22,Walking,,1.00,11:42,11:45,5.11,73.0306776578632,,,"Walking",
2016-07-12 12:44:58,Walking,,2.88,34:50,12:05,4.97,187.111278705114,,,"Walking",
2016-07-10 02:57:30,Walking,,1.61,22:29,13:57,4.30,90.9303535543983,,,"Walking",
2016-07-09 21:37:06,Walking,,1.65,21:10,12:48,4.69,84.9637949222199,,,"Walking",
2016-07-09 20:50:38,Walking,,0.73,9:08,12:30,4.80,36.0380141383573,,,"Walking",
2016-07-09 15:02:26,Walking,,1.49,19:40,13:12,4.55,89.0210547921012,,,"Walking",
2016-07-06 17:28:42,Running,,4.08,39:11,9:37,6.24,248.924826134481,,,"Running",
2016-07-05 14:43:36,Walking,,2.84,34:10,12:02,4.99,143.913394208142,,,"Walking",
2016-07-05 10:46:12,Walking,,2.90,34:48,12:01,4.99,140.094796683548,,,"Walking",
2016-06-29 20:14:27,Running,,3.38,34:20,10:10,5.90,246.060877991036,,,"Running",
2016-06-23 14:31:51,Walking,,0.92,10:56,11:50,5.07,72.0760282767147,,,"Walking",
2016-06-23 12:12:28,Walking,,1.64,20:20,12:22,4.85,95.9422628054281,,,"Walking",
2016-06-22 15:28:22,Walking,,1.09,13:06,12:02,4.98,67.0641190256848,,,"Walking",
2016-06-21 16:29:43,Walking,,1.42,17:27,12:17,4.88,88.0664054109527,,,"Walking",
2016-06-21 13:37:25,Walking,,0.42,5:12,12:19,4.87,29.1168061250304,,,"Walking",
2016-06-20 21:29:44,Walking,,0.66,7:07,10:52,5.52,31.980754268476,,,"Walking",
2016-06-20 11:58:57,Walking,,1.44,16:59,11:46,5.10,131.980276943785,,,"Walking",
2016-06-20 10:46:45,Walking,,1.46,16:39,11:25,5.25,78.042586908893,,,"Walking",
2016-06-17 16:45:57,Walking,,1.80,21:41,12:02,4.99,99.9995226753094,,,"Walking",
2016-06-17 15:15:27,Walking,,1.40,16:42,11:55,5.03,88.0664054109527,,,"Walking",
2016-06-17 00:32:18,Walking,,1.49,19:01,12:46,4.70,90.9303535543983,,,"Walking",
2016-06-16 21:15:59,Walking,,1.76,21:18,12:07,4.95,88.0664054109527,,,"Walking",
2016-06-15 19:30:53,Walking,,1.97,24:24,12:23,4.85,115.989899809547,,,"Walking",
2016-06-15 11:06:36,Walking,,1.49,17:05,11:29,5.22,75.8946258013088,,,"Walking",
2016-06-14 23:23:00,Walking,,1.42,16:09,11:24,5.26,87.1117560298042,,,"Walking",
2016-06-14 21:32:07,Walking,,1.26,14:38,11:37,5.16,68.0187684068334,,,"Walking",
2016-06-14 20:09:41,Walking,,1.20,13:42,11:25,5.26,64.9161579181006,,,"Walking",
2016-06-14 13:28:30,Walking,,1.52,17:32,11:30,5.22,91.8850029355469,,,"Walking",
2016-06-13 23:43:55,Walking,,1.53,20:23,13:22,4.49,83.0544961599229,,,"Walking",
2016-06-13 16:52:18,Walking,,1.46,17:44,12:08,4.94,75.8946258013088,,,"Walking",
2016-06-12 22:12:22,Walking,,1.44,18:48,13:06,4.58,77.0879375277445,,,"Walking",
2016-06-12 18:58:00,Walking,,2.45,30:23,12:24,4.84,152.027913947905,,,"Walking",
2016-06-12 12:07:57,Walking,,2.20,26:46,12:10,4.93,161.097083068816,,,"Walking",
2016-06-11 19:59:20,Walking,,0.46,5:05,11:03,5.43,21.9569357664164,,,"Walking",
2016-06-11 19:02:24,Walking,,0.16,2:15,14:14,4.21,9.06916912091112,,,"Walking",
2016-06-11 17:51:47,Walking,,1.46,16:35,11:23,5.27,79.9518856711901,,,"Walking",
2016-06-11 14:28:34,Walking,,1.61,18:58,11:45,5.11,94.0329640431311,,,"Walking",
2016-06-10 19:39:13,Walking,,1.43,16:42,11:40,5.14,131.980276943785,,,"Walking",
2016-06-10 11:22:48,Walking,,1.15,12:07,10:34,5.68,54.892339416041,,,"Walking",
2016-06-10 10:37:34,Walking,,2.35,27:52,11:52,5.05,119.09251029828,,,"Walking",
2016-06-09 19:12:51,Walking,,0.54,6:58,12:58,4.62,42.0045727705357,,,"Walking",
2016-06-09 09:13:43,Walking,,1.47,18:44,12:44,4.71,78.9972362900416,,,"Walking",
2016-06-08 13:58:25,Walking,,1.15,14:22,12:32,4.79,61.0975603935065,,,"Walking",
2016-06-08 12:24:59,Walking,,1.28,15:13,11:51,5.06,84.0091455410714,,,"Walking",
2016-06-08 11:57:04,Walking,,0.76,9:04,11:58,5.02,41.0499233893872,,,"Walking",
2016-06-08 09:58:01,Walking,,1.05,12:36,12:01,5.00,52.0283912725954,,,"Walking",
2016-06-07 15:44:42,Walking,,1.73,12:08,7:00,8.57,85.9184443033685,,,"Walking",
2016-06-06 21:55:22,Running,,2.33,22:58,9:51,6.09,154.89186209135,,,"Running",
2016-06-06 17:05:18,Walking,,1.50,18:08,12:05,4.96,115.035250428399,,,"Walking",
2016-06-06 15:01:53,Walking,,1.79,20:38,11:33,5.19,105.966081307488,,,"Walking",
2016-06-04 20:34:27,Walking,,1.87,22:22,11:56,5.03,105.011431926339,,,"Walking",
2016-06-04 12:16:37,Walking,,1.81,21:52,12:06,4.96,99.9995226753094,,,"Walking",
2016-06-04 00:15:49,Walking,,1.45,18:55,13:01,4.61,73.9853270390118,,,"Walking",
2016-06-03 20:19:31,Walking,,1.61,18:53,11:42,5.13,110.023341177369,,,"Walking",
2016-06-03 18:15:54,Walking,,1.53,17:00,11:07,5.40,90.9303535543983,,,"Walking",
2016-06-03 17:04:14,Walking,,1.37,15:51,11:35,5.18,69.9280671691305,,,"Walking",
2016-06-03 11:23:54,Walking,,2.61,31:03,11:54,5.05,151.073264566756,,,"Walking",
2016-06-02 16:59:25,Walking,,1.69,19:23,11:27,5.24,96.8969121865767,,,"Walking",
2016-06-02 15:45:57,Walking,,0.75,8:20,11:10,5.37,54.892339416041,,,"Walking",
2016-06-01 23:10:41,Walking,,1.41,17:15,12:12,4.91,68.9734177879819,,,"Walking",
2016-06-01 17:17:59,Walking,,1.28,14:47,11:35,5.18,83.0544961599229,,,"Walking",
2016-06-01 10:28:34,Walking,,1.45,16:49,11:38,5.16,74.9399764201603,,,"Walking",
2016-05-31 14:13:01,Walking,,1.54,19:06,12:26,4.83,74.9399764201603,,,"Walking",
2016-05-31 13:18:53,Walking,,0.41,4:32,11:00,5.45,24.1048968740006,,,"Walking",
2016-05-31 10:15:42,Walking,,1.41,16:19,11:35,5.18,70.882716550279,,,"Walking",
2016-05-30 11:39:50,Walking,,1.52,18:11,11:59,5.01,75.8946258013088,,,"Walking",
2016-05-28 23:50:47,Walking,,1.37,17:24,12:40,4.74,64.9161579181006,,,"Walking",
2016-05-28 20:23:29,Walking,,1.67,20:05,12:00,5.00,94.9876134242796,,,"Walking",
2016-05-27 17:05:16,Walking,,1.46,17:25,11:57,5.02,75.8946258013088,,,"Walking",
2016-05-27 15:45:23,Walking,,0.81,8:57,11:07,5.40,68.0187684068334,,,"Walking",
2016-05-27 13:14:37,Walking,,0.80,9:32,11:59,5.01,43.9138715328328,,,"Walking",
2016-05-27 12:30:51,Walking,,1.23,14:22,11:40,5.15,82.0998467787743,,,"Walking",
2016-05-26 13:17:34,Walking,,1.36,15:38,11:31,5.21,85.9184443033685,,,"Walking",
2016-05-25 23:55:29,Walking,,1.15,15:57,13:49,4.34,70.882716550279,,,"Walking",
2016-05-25 15:51:32,Walking,,1.58,17:28,11:04,5.42,73.9853270390118,,,"Walking",
2016-05-25 01:24:09,Walking,,1.19,15:00,12:39,4.74,58.9495992859223,,,"Walking",
2016-05-24 19:12:59,Walking,,1.78,21:58,12:20,4.86,99.9995226753094,,,"Walking",
2016-05-24 02:39:13,Walking,,1.29,15:00,11:39,5.15,63.9615085369521,,,"Walking",
2016-05-23 19:10:47,Walking,,1.96,23:19,11:52,5.05,103.102133164042,,,"Walking",
2016-05-23 17:22:53,Walking,,1.54,19:42,12:50,4.68,91.8850029355469,,,"Walking",
2016-05-23 14:08:25,Walking,,1.42,16:04,11:20,5.30,87.1117560298042,,,"Walking",
2016-05-23 10:38:54,Walking,,1.60,18:46,11:42,5.13,179.9514083465,,,"Walking",
2016-05-22 19:52:40,Walking,,1.82,22:09,12:10,4.93,114.08060104725,,,"Walking",
2016-05-22 11:19:38,Walking,,1.66,19:43,11:51,5.06,95.9422628054281,,,"Walking",
2016-05-21 20:11:10,Walking,,1.47,19:09,13:00,4.62,74.9399764201603,,,"Walking",
2016-05-21 12:50:59,Walking,,1.63,19:44,12:07,4.95,94.0329640431311,,,"Walking",
2016-05-20 20:26:43,Walking,,2.35,27:39,11:46,5.10,112.887289320815,,,"Walking",
2016-05-20 13:46:12,Walking,,1.47,17:22,11:48,5.09,89.0210547921012,,,"Walking",
2016-05-19 18:01:57,Walking,,3.16,38:56,12:19,4.87,193.077837337292,,,"Walking",
2016-05-18 19:25:32,Walking,,3.04,35:21,11:39,5.15,180.906057727648,,,"Walking",
2016-05-18 14:22:46,Walking,,1.27,15:11,11:58,5.01,63.0068591558036,,,"Walking",
2016-05-18 08:42:46,Running,,2.43,14:48,6:06,9.84,173.030200333173,,,"Running",
2016-05-17 18:09:22,Walking,,2.72,32:38,11:59,5.01,131.980276943785,,,"Walking",
2016-05-15 09:01:42,Running,,4.79,31:14,6:32,9.19,366.108037670465,,,"Running",
2016-05-14 18:16:41,Walking,,4.48,53:59,12:03,4.98,270.881761900898,,,"Walking",
2016-05-12 08:20:44,Running,,9.05,1:01:08,6:45,8.88,679.949021723047,,,"Running",
2016-05-11 15:02:47,Walking,,1.45,17:21,11:56,5.02,89.9757041732498,,,"Walking",
2016-05-11 09:32:08,Walking,,1.44,16:23,11:25,5.26,69.9280671691305,,,"Walking",
2016-05-10 16:55:32,Walking,,2.64,31:34,11:56,5.03,132.934926324934,,,"Walking",
2016-05-10 10:06:45,Walking,,1.62,19:56,12:16,4.89,78.9972362900416,,,"Walking",
2016-05-09 08:20:00,Running,,7.77,56:48,7:19,8.21,558.947212662469,,,"Running",
2016-05-08 18:51:16,Walking,,1.58,20:26,12:54,4.65,93.0783146619825,,,"Walking",
2016-05-08 11:35:35,Walking,,1.63,20:14,12:23,4.84,94.0329640431311,,,"Walking",
2016-05-07 08:51:50,Running,,7.16,56:19,7:52,7.63,545.0,,,"Ran with 350-50 run-walk ratio today over 300-100 in previous ones.",
2016-05-06 17:37:15,Walking,,5.80,1:13:07,12:36,4.76,337.945880926583,,,"Walking",
2016-05-04 16:37:17,Walking,,3.89,45:29,11:42,5.13,205.965603982797,,,"Walking",
2016-05-04 10:48:17,Walking,,1.44,16:50,11:42,5.13,68.9734177879819,,,"Walking",
2016-05-04 08:55:53,Running,,7.05,58:04,8:14,7.29,485.916535004606,,,"Running",
2016-05-02 14:23:25,Walking,,1.52,17:39,11:39,5.15,85.9184443033685,,,"Walking",
2016-05-02 08:30:31,Walking,,1.59,18:37,11:43,5.12,84.9637949222199,,,"Walking",
2016-05-01 08:47:04,Running,,7.13,57:50,8:07,7.40,494.031054744369,,,"Running",
2016-04-30 18:20:37,Walking,,2.12,25:26,12:01,4.99,122.911107822874,,,"Walking",
2016-04-29 10:42:26,Running,,4.54,40:42,8:58,6.69,294.986658774899,,,"Running",
2016-04-28 17:25:22,Walking,,3.45,42:52,12:25,4.83,216.944071866005,,,"Walking",
2016-04-28 08:56:41,Walking,,1.46,17:01,11:38,5.15,70.882716550279,,,"Walking",
2016-04-26 16:45:37,Walking,,1.78,21:10,11:53,5.05,88.0664054109527,,,"Walking",
2016-04-26 15:56:43,Walking,,1.74,19:51,11:24,5.26,105.011431926339,,,"Walking",
2016-04-25 14:56:16,Walking,,1.47,16:36,11:19,5.30,89.9757041732498,,,"Walking",
2016-04-25 08:26:28,Walking,,1.45,16:48,11:35,5.18,70.882716550279,,,"Walking",
2016-04-24 09:15:25,Running,,4.54,35:19,7:47,7.71,311.931685290285,,,"Running",
2016-04-22 17:01:48,Walking,,5.42,1:05:19,12:03,4.98,351.072309917375,,,"Walking",
2016-04-21 15:57:01,Walking,,1.42,16:01,11:15,5.33,69.9280671691305,,,"Walking",
2016-04-21 11:04:58,Walking,,1.43,16:27,11:29,5.23,70.882716550279,,,"Walking",
2016-04-21 08:37:39,Running,,4.46,35:10,7:53,7.61,301.907866788225,,,"Running",
2016-04-20 18:41:09,Walking,,2.36,28:20,12:01,5.00,136.992186194815,,,"Walking",
2016-04-20 17:46:32,Walking,,1.35,15:48,11:40,5.15,84.9637949222199,,,"Walking",
2016-04-20 10:35:48,Walking,,1.35,15:51,11:42,5.13,64.9161579181006,,,"Walking",
2016-04-19 16:14:36,Walking,,1.39,16:08,11:38,5.16,68.0187684068334,,,"Walking",
2016-04-19 10:59:00,Walking,,1.50,17:16,11:29,5.22,73.0306776578632,,,"Walking",
